Index	Verb	Class number	Subclass	Example lemma	Stem	Regularity	Initial segment	Regular category	Affix	Translation	Transitivity
929	lrdesel	2		lrdes	kaɣel	Regular	C	E-Class	-el	To spy, to watch, to scout, to pry into; to play the spy; to observe in secret, to waylay, to lie in wait for.	Transitive
930	lprdal	6		lprd	gartal	Regular	C	A-Class	-al	To jabber, to peel off the words, to sputter out, to stammer.	Intransitive
931	lprdel	2		lprd	kaɣel	Regular	C	E-Class	-el	To jabber, to peel off the words, to sputter out, to stammer.	Intransitive
932	lkel	2		lk	kaɣel	Regular	C	E-Class	-el	To abandon, to quit, to leave, to give up.	Transitive
933	xapel	2		xap	kaɣel	Regular	C	E-Class	-el	To deceive, to cheat, to fraud, to dupe, to beguile, to trick, to swindle, to delude.	Transitive
934	xapvil	4	Passive	xap	zzvil	Regular	C	Passive	-vil	To be deceived, cheated.	Intransitive
935	xazel	2		xaz	kaɣel	Regular	C	E-Class	-el	To mark up with chalk, to roll, to brand.	Transitive
936	xatarel	2		xatar	kaɣel	Regular	C	E-Class	-el	To deteriorate, to spoil, to degrade, to crumple, to destroy, to shatter, to rumple.	Transitive
937	xatarvil	4	Passive	xatar	zzvil	Regular	C	Passive	-vil		Intransitive
938	xaxalel	2		xaxal	kaɣel	Regular	C	E-Class	-el	To sift, to bolt, to strain.	Transitive
939	xaxant͡ʃel	2		xaxant͡ʃ	kaɣel	Regular	C	E-Class	-el	To cry loudly, to vociferate, to yell.	Intransitive
940	xaxdel	2		xaxd	kaɣel	Regular	C	E-Class	-el	To remove, to displace; to dislodge, to move.	Transitive
941	xad͡znel	53		xad͡z	xad͡znel	Irregular	C		-nel	To bite, to chew, to nibble, to sting.	Transitive
942	xahakord͡zel	2		xahakord͡z	kaɣel	Regular	C	E-Class	-el	To cook, to dress victuals.	Transitive
943	xaɣal	54		xaɣ	xaɣal	Irregular	C		-al	To play, to dance, to sport, to amuse oneself, to toy, to frolic, to gambol; to leap, to jump.	Transitive
944	xaɣaɣel	2		xaɣaɣ	kaɣel	Regular	C	E-Class	-el	To pacify, to calm, to quiet, to appease, to allay.	Transitive
945	xaɣaɣet͡snel	10	Basic	xaɣaɣe	modet͡snel	Regular	C	Causative	-t͡snel		Transitive
946	xaɣaɣil	4	Basic	xaɣaɣ	xosil	Regular	C	I-Class	-il	To become calm, to be tranquillized.	Intransitive
947	xaɣt͡snel	10	Basic	xaɣ	modet͡snel	Regular	C	Causative	-t͡snel	To make to play, to make to dance.	Transitive
948	xamret͡snel	10	Basic	xamre	modet͡snel	Regular	C	Causative	-t͡snel	To cause to fade, to tarnish, to kill, to wither, to weaken, to stunt, to spoil.	Transitive
949	xamril	4	Basic	xamr	xosil	Regular	C	I-Class	-il	To fade, to wither, to tarnish, to dry; to waste away, to languish, to grow weak.	Intransitive
950	xajtel	2		xajt	kaɣel	Regular	C	E-Class	-el	To bite, to sting, to prick, to pique.	Transitive
951	xajd͡zil	4	Basic	xajd͡z	xosil	Regular	C	I-Class	-il	To mark with spots, to speckle.	Intransitive
952	xajdal	6		xajd	gartal	Regular	C	A-Class	-al	To leap for joy, to be in ecstasy, to frolic.	Intransitive
953	xajdaragel	2		xajdarag	kaɣel	Regular	C	E-Class	-el	To dishonour, to make ashamed, to violate, to defame, to traduce, to shame, to blast.	Transitive
954	xajdaragvil	4	Passive	xajdarag	zzvil	Regular	C	Passive	-vil		Intransitive
955	xankarel	2		xankar	kaɣel	Regular	C	E-Class	-el	To disturb, to confuse, to derange, to disconcert, to disorder, to confound, to spoil, to mar, to break, to ruin, to corrupt.	Transitive
956	xankarvil	4	Passive	xankar	zzvil	Regular	C	Passive	-vil	To become impaired, to be disordered, to get out of order, to be spoiled.	Intransitive
957	xantaɣadil	4	Basic	xantaɣad	xosil	Regular	C	I-Class	-il	To grow tender, to be moved, to pity, to implore; to soften; to entreat, to supplicate.	Intransitive
958	xantavarel	2		xantavar	kaɣel	Regular	C	E-Class	-el		Transitive
959	xantavarvil	4	Passive	xantavar	zzvil	Regular	C	Passive	-vil		Intransitive
960	xand͡zel	2		xand͡z	kaɣel	Regular	C	E-Class	-el	To burn, to consume by fire.	Transitive
961	xand͡zil	4	Basic	xand͡z	xosil	Regular	C	I-Class	-il	To burn oneself, to scorch.	Intransitive
962	xant͡sel	2		xant͡s	kaɣel	Regular	C	E-Class	-el	To burn, to parch, to scorch, to singe, to set fire to, to consume by fire, to roast.	Transitive
963	xant͡sil	4	Basic	xant͡s	xosil	Regular	C	I-Class	-il		Intransitive
964	xant͡ʃel	2		xant͡ʃ	kaɣel	Regular	C	E-Class	-el	To roar, to bellow, to grunt, to bray.	Intransitive
965	xaʃel	2		xaʃ	kaɣel	Regular	C	E-Class	-el	To boil.	Transitive
966	xaʃil	4	Basic	xaʃ	xosil	Regular	C	I-Class	-il		Intransitive
967	xat͡ʃagnkel	2		xat͡ʃagnk	kaɣel	Regular	C	E-Class	-el	To cross, to make the sign of the cross.	Intransitive
968	xat͡ʃat͡sewel	2		xat͡ʃat͡sew	kaɣel	Regular	C	E-Class	-el		Transitive
969	xat͡ʃel	2		xat͡ʃ	kaɣel	Regular	C	E-Class	-el	To crucify, to fix on the cross.	Transitive
970	xaradel	2		xarad	kaɣel	Regular	C	E-Class	-el	To corrode, to nibble, to bite off, to destroy, to eat into, to gnaw.	Transitive
971	xarel	2		xar	kaɣel	Regular	C	E-Class	-el	To twist, to wring, to wring out, to wrench.	Transitive
972	xarnagel	2		xarnag	kaɣel	Regular	C	E-Class	-el	To mix, to mingle, to perplex, to blend.	Transitive
973	xarnagil	4	Basic	xarnag	xosil	Regular	C	I-Class	-il	To be mixed, confused; to be confounded; to complicate.	Intransitive
974	xarnel	2		xarn	kaɣel	Regular	C	E-Class	-el	To mingle, to mix, to compose, to mix up, to blend, to join, to unite, to amalgamate.	Transitive
975	xarnvil	4	Passive	xarn	zzvil	Regular	C	Passive	-vil	To mingle, to blend, to intermingle, to meddle, to interfere, to get entangled.	Intransitive
976	xarazanel	2		xarazan	kaɣel	Regular	C	E-Class	-el	To whip, to lash, to scourge, to thrash.	Transitive
977	xaranel	2		xaran	kaɣel	Regular	C	E-Class	-el	To mark, to stamp, to brand.	Transitive
978	xarpalel	2		xarpal	kaɣel	Regular	C	E-Class	-el	To sift, to riddle, to bolt: to tempt.	Transitive
979	xartaxel	2		xartax	kaɣel	Regular	C	E-Class	-el	To falsify, to cheat, to counterfeit, to forge, to trick, to adulterate.	Transitive
980	xarel	2		xar	kaɣel	Regular	C	E-Class	-el	To cauterize, to brand; to stamp.	Transitive
981	xarxapel	2		xarxap	kaɣel	Regular	C	E-Class	-el	To grope along; to fumble; to shake.	Transitive
982	xarxlel	2		xarxl	kaɣel	Regular	C	E-Class	-el	To ruin, to destroy, to loosen.	Transitive
983	xarxlil	4	Basic	xarxl	xosil	Regular	C	I-Class	-il	To totter, to fall into ruin or decay.	Intransitive
984	xargel	2		xarg	kaɣel	Regular	C	E-Class	-el	To parch, to cauterize.	Transitive
985	xarʃapel	2		xarʃap	kaɣel	Regular	C	E-Class	-el	To rustle.	Intransitive
986	xarsxel	2		xarsx	kaɣel	Regular	C	E-Class	-el	To cast anchor, to base, to fix, to ground.	Transitive
987	xardel	2		xard	kaɣel	Regular	C	E-Class	-el	To file, to smooth, to polish, to finish.	Transitive
988	xardot͡snel	10	Basic	xardo	modet͡snel	Regular	C	Causative	-t͡snel		Transitive
989	xawaril	4	Basic	xawar	xosil	Regular	C	I-Class	-il	To become obscure, dark, to be darkened.	Intransitive
990	xapanel	2		xapan	kaɣel	Regular	C	E-Class	-el	To hinder, to stop, to impede, to embarrass, to obstruct, to encumber, to destroy, to annul, to abolish, to shackle, to trammel, to clog.	Transitive
991	xetal	6		xet	gartal	Regular	C	A-Class	-al	To glance at someone (jealously), to envy, to hate.	Transitive
992	xetel	2		xet	kaɣel	Regular	C	E-Class	-el	To push, to thrust, to drive on; to sink.	Transitive
993	xetgel	2		xetg	kaɣel	Regular	C	E-Class	-el	To strike, to hit, to knock against; to vex, to clash, to hit against, to combat, to shock.	Transitive
994	xelaperil	4	Basic	xelaper	xosil	Regular	C	I-Class	-il	To recover one's senses, to become wise.	Intransitive
995	xelakaril	4	Basic	xelakar	xosil	Regular	C	I-Class	-il	To become crazy, insane, mad.	Intransitive
996	xeloknal	20		xelok	niharnal	Regular	C	Inchoative	-nal	To become wise.	Intransitive
997	xeɣatiwrel	2		xeɣatiwr	kaɣel	Regular	C	E-Class	-el	To forge, to alter, to pervert, to discolor, to distort.	Transitive
998	xeɣtel	2		xeɣt	kaɣel	Regular	C	E-Class	-el	To strangle, to suffocate, to choke.	Transitive
999	xeɣtvil	4	Passive	xeɣt	zzvil	Regular	C	Passive	-vil	To be strangled, choked.	Intransitive
1000	xeɣel	2		xeɣ	kaɣel	Regular	C	E-Class	-el	To cripple, to lame, to disable.	Transitive
1001	xeɣd͡ʒanal	20		xeɣd͡ʒa	niharnal	Regular	C	Inchoative	-nal		Intransitive
1002	xentanal	20		xenta	niharnal	Regular	C	Inchoative	-nal	To become foolish, senseless, mad.	Intransitive
1003	xentat͡snel	10	Basic	xenta	modet͡snel	Regular	C	Causative	-t͡snel		Transitive
1004	xzel	2		xz	kaɣel	Regular	C	E-Class	-el	To cut, to cut off, to break off.	Transitive
1005	xtanel	2		xtan	kaɣel	Regular	C	E-Class	-el	To spur, to goad, to prick; to incite.	Transitive
1006	xtel	2		xt	kaɣel	Regular	C	E-Class	-el	To spur, to prick, to goad.	Transitive
1007	xizaxel	2		xizax	kaɣel	Regular	C	E-Class	-el	To hector, to swagger, to take courage, to face, to brave, to attack boldly, to risk.	Intransitive
1008	xlanal	20		xla	niharnal	Regular	C	Inchoative	-nal	To grow deaf, to be made deaf.	Intransitive
1009	xlat͡snel	10	Basic	xla	modet͡snel	Regular	C	Causative	-t͡snel	To deafen, to stun.	Transitive
1010	xlel	2		xl	kaɣel	Regular	C	E-Class	-el	To pluck up, to root out, to extirpate.	Transitive
1011	xlrdal	6		xlrd	gartal	Regular	C	A-Class	-al	To move, to stir, to rouse, to wave, to toss.	Intransitive
1012	xlrdel	2		xlrd	kaɣel	Regular	C	E-Class	-el	To move, to rouse, to turn up.	Transitive
1013	xlrdil	4	Basic	xlrd	xosil	Regular	C	I-Class	-il	To be moved.	Intransitive
1014	xxnt͡ʃel	2		xxnt͡ʃ	kaɣel	Regular	C	E-Class	-el	To neigh, to utter the cry of a horse.	Intransitive
1015	xd͡zpd͡zel	2		xd͡zpd͡z	kaɣel	Regular	C	E-Class	-el	To criticize, to censure, to blame; to debate, to sift.	Transitive
1016	xɣd͡ʒal	6		xɣd͡ʒ	gartal	Regular	C	A-Class	-al	To have pity, compassion; to scruple, to mistrust.	Transitive
1017	xɣd͡ʒaharil	4	Basic	xɣd͡ʒahar	xosil	Regular	C	I-Class	-il	To become conscientious, scrupulous.	Intransitive
1018	xd͡ʒoɣel	2		xd͡ʒoɣ	kaɣel	Regular	C	E-Class	-el	To fill, to heap up, to stuff, to cram; to crowd, to throng, to fill again.	Transitive
1019	xmpakrel	2		xmpakr	kaɣel	Regular	C	E-Class	-el	To edit, to write out, to compile.	Transitive
1020	xmpaworel	2		xmpawor	kaɣel	Regular	C	E-Class	-el		Transitive
1021	xmpel	2		xmp	kaɣel	Regular	C	E-Class	-el	To group, to assemble, to convoke, to bring together, to rally.	Transitive
1022	xmpvil	4	Passive	xmp	zzvil	Regular	C	Passive	-vil	To be assembled, convoked, gathered together, to form a group.	Intransitive
1023	xmel	2		xm	kaɣel	Regular	C	E-Class	-el	To drink; to absorb, to suck up.	Transitive
1024	xmorel	2		xmor	kaɣel	Regular	C	E-Class	-el	To ferment, to cause to ferment.	Transitive
1025	xnamel	2		xnam	kaɣel	Regular	C	E-Class	-el	To attend, to take care of.	Transitive
1026	xnajel	2		xnaj	kaɣel	Regular	C	E-Class	-el	To spare; to save, to economize, to be thrifty.	Transitive
1027	xntal	6		xnt	gartal	Regular	C	A-Class	-al	To laugh, to rejoice, to be glad, to be delighted.	Intransitive
1028	xntagt͡sil	4	Basic	xntagt͡s	xosil	Regular	C	I-Class	-il	To felicitate, to congratulate, to compliment.	Transitive
1029	xntat͡snel	10	Basic	xnta	modet͡snel	Regular	C	Causative	-t͡snel	To gladden, to make to laugh, to divert.	Transitive
1030	xntrel	2		xntr	kaɣel	Regular	C	E-Class	-el	To ask, to solicit; to implore, to demand, to request, to entreat, to search for.	Transitive
1031	xnd͡zɣal	6		xnd͡zɣ	gartal	Regular	C	A-Class	-al	To laugh, to rejoice, to gladden, to cheer.	Transitive
1032	xngargel	2		xngarg	kaɣel	Regular	C	E-Class	-el	To perfume with frankincense, to incense, to embalm.	Transitive
1033	xngel	2		xng	kaɣel	Regular	C	E-Class	-el	To incense, to embalm, to perfume.	Transitive
1034	xnt͡ʃel	2		xnt͡ʃ	kaɣel	Regular	C	E-Class	-el	To blow the nose, to grunt.	Transitive
1035	xozanagel	2		xozanag	kaɣel	Regular	C	E-Class	-el	To brush, to dust.	Transitive
1036	xotanal	20		xota	niharnal	Regular	C	Inchoative	-nal		Intransitive
1037	xotel	2		xot	kaɣel	Regular	C	E-Class	-el	To put in, to push in, to dip; to sink.	Transitive
1038	xoʒoril	4	Basic	xoʒor	xosil	Regular	C	I-Class	-il	To frown, to scowl, to be sulky, cross.	Intransitive
1039	xoxot͡ʃel	2		xoxot͡ʃ	kaɣel	Regular	C	E-Class	-el	To babble, to gurgle, to grumble, to murmur.	Intransitive
1040	xogal	6		xog	gartal	Regular	C	A-Class	-al	To meditate, to contemplate, to think over.	Transitive
1041	xoɣxoɣel	2		xoɣxoɣ	kaɣel	Regular	C	E-Class	-el	To butcher, to kill, to slaughter.	Transitive
1042	xojanal	20		xoja	niharnal	Regular	C	Inchoative	-nal	To rush, to bound, to dart, to spring, to fall on.	Intransitive
1043	xonarhel	2		xonarh	kaɣel	Regular	C	E-Class	-el	To conjugate verbs.	Transitive
1044	xonarhil	4	Basic	xonarh	xosil	Regular	C	I-Class	-il	To be humble, to descend, to deign, to acquiesce, to come down, to yield, to lean, to decline.	Intransitive
1045	xonawnal	20		xonaw	niharnal	Regular	C	Inchoative	-nal		Intransitive
1046	xonawt͡snel	10	Basic	xonaw	modet͡snel	Regular	C	Causative	-t͡snel	To wet, to moisten, to damp.	Transitive
1047	xont͡ʃil	4	Basic	xont͡ʃ	xosil	Regular	C	I-Class	-il		Intransitive
1048	xoʃornal	20		xoʃor	niharnal	Regular	C	Inchoative	-nal	To grow up, to increase in size.	Intransitive
1049	xoʃort͡snel	10	Basic	xoʃor	modet͡snel	Regular	C	Causative	-t͡snel	To magnify, to enlarge, to make larger.	Transitive
1050	xoʃdankel	2		xoʃdank	kaɣel	Regular	C	E-Class	-el	To torture, to torment; to pain, to thrash.	Transitive
1051	xobananal	20		xobana	niharnal	Regular	C	Inchoative	-nal	To become desert, uncultivated.	Intransitive
1052	xobobel	2		xobob	kaɣel	Regular	C	E-Class	-el	To frizzle, to crisp, to curl.	Transitive
1053	xorel	2		xor	kaɣel	Regular	C	E-Class	-el	To dig, to hollow out, to curtail, to lessen.	Transitive
1054	xosdanal	20		xosda	niharnal	Regular	C	Inchoative	-nal	To promise.	Transitive
1055	xosdovanil	4	Basic	xosdovan	xosil	Regular	C	I-Class	-il	To confess, to avow, to aver; to disclose.	Intransitive
1056	xodel	2		xod	kaɣel	Regular	C	E-Class	-el	To despise, to scorn, to disdain.	Transitive
1057	xodoril	4	Basic	xodor	xosil	Regular	C	I-Class	-il	To deviate, to go astray, to digress, to swerve.	Intransitive
1058	xoranal	20		xora	niharnal	Regular	C	Inchoative	-nal	To become deeper.	Intransitive
1059	xorat͡ʃapel	2		xorat͡ʃap	kaɣel	Regular	C	E-Class	-el		Transitive
1060	xorasuzvil	4	Passive	xorasuz	zzvil	Regular	C	Passive	-vil		Intransitive
1061	xorat͡snel	10	Basic	xora	modet͡snel	Regular	C	Causative	-t͡snel	To deepen, to make deeper.	Transitive
1062	xortal	6		xort	gartal	Regular	C	A-Class	-al	To snore.	Intransitive
1063	xorel	2		xor	kaɣel	Regular	C	E-Class	-el	To take away, to purloin, to embezzle; to withhold, to misappropriate, to deter, to peculate.	Transitive
1064	xortanal	20		xorta	niharnal	Regular	C	Inchoative	-nal	To degenerate.	Intransitive
1065	xorxadel	2		xorxad	kaɣel	Regular	C	E-Class	-el	To shell, to husk.	Transitive
1066	xorhil	4	Basic	xorh	xosil	Regular	C	I-Class	-il	To think, to meditate upon, to reflect back, to ponder, to reason, to study; to deliberate, to cogitate.	Transitive
1067	xorhrtad͡zel	2		xorhrtad͡z	kaɣel	Regular	C	E-Class	-el	To reflect, to ponder, to think, to revolve.	Both
1068	xorhrtagt͡sil	4	Basic	xorhrtagt͡s	xosil	Regular	C	I-Class	-il	To consult, to confer.	Intransitive
1069	xorhrtanʃel	2		xorhrtanʃ	kaɣel	Regular	C	E-Class	-el	To symbolize.	Intransitive
1070	xorʃil	4	Basic	xorʃ	xosil	Regular	C	I-Class	-il	To be repugnant, to loathe, to shun, to avoid, to abhor, to flee, to eschew.	Intransitive
1071	xorʃomel	2		xorʃom	kaɣel	Regular	C	E-Class	-el	To wrinkle, to shrivel.	Intransitive
1072	xorʃomil	4	Basic	xorʃom	xosil	Regular	C	I-Class	-il	To wrinkle, to shrivel.	Intransitive
1073	xorovel	2		xorov	kaɣel	Regular	C	E-Class	-el	To roast, to brown, to toast, to torrefy.	Transitive
1074	xorovvil	4	Passive	xorov	zzvil	Regular	C	Passive	-vil		Intransitive
1075	xordagel	2		xordag	kaɣel	Regular	C	E-Class	-el	To shatter, to smash, to crush, to knock up, to bruise, to break to pieces, to crack.	Transitive
1076	xordagvil	4	Passive	xordag	zzvil	Regular	C	Passive	-vil	To break, to dash to pieces, to be broken to pieces, to be defeated.	Intransitive
1077	xot͡sel	2		xot͡s	kaɣel	Regular	C	E-Class	-el	To wound, to pierce, to stab, to cut, to hurt.	Transitive
1078	xot͡sodel	2		xot͡sod	kaɣel	Regular	C	E-Class	-el	To wound, to stab, to pierce, to cut.	Transitive
1079	xuzargel	2		xuzarg	kaɣel	Regular	C	E-Class	-el	To search, to investigate, to search for, to enquire into, to scrutinize, to fathom, to probe.	Transitive
1080	xuzel	2		xuz	kaɣel	Regular	C	E-Class	-el	To search, to seek, to pry, to look for; to shear, to clip, to cut off.	Transitive
1081	xuʒel	2		xuʒ	kaɣel	Regular	C	E-Class	-el	To invade, to rush upon, to throw oneself, to overrun, to encroach upon.	Transitive
1082	xulnal	20		xul	niharnal	Regular	C	Inchoative	-nal	To grow deaf.	Intransitive
1083	xult͡snel	10	Basic	xul	modet͡snel	Regular	C	Causative	-t͡snel	To deafen, to stun.	Transitive
1084	xusapil	4	Basic	xusap	xosil	Regular	C	I-Class	-il	To escape, to flee, to get away, to take to flight, to shun.	Intransitive
1085	xusel	2		xus	kaɣel	Regular	C	E-Class	-el	To escape, to get away.	Intransitive
1086	xurdel	2		xurd	kaɣel	Regular	C	E-Class	-el	To change (money).	Transitive
1087	xbnil	4	Basic	xbn	xosil	Regular	C	I-Class	-il	To be ashamed.	Transitive
1088	xrgal	6		xrg	gartal	Regular	C	A-Class	-al	To snore, to snort (of horse).	Intransitive
1089	xrmpal	6		xrmp	gartal	Regular	C	A-Class	-al		Intransitive
1090	xrnel	2		xrn	kaɣel	Regular	C	E-Class	-el	To assemble, to collect, to gather, to crowd.	Transitive
1091	xrnvil	4	Passive	xrn	zzvil	Regular	C	Passive	-vil	To reassemble, to muster, to flock together.	Intransitive
1092	xrovel	2		xrov	kaɣel	Regular	C	E-Class	-el	To trouble, to agitate, to disturb, to upset; to perturb, to perplex.	Transitive
1093	xrovil	4	Basic	xrov	xosil	Regular	C	I-Class	-il	To become agitated, to become confused, to be disconcerted, to be uneasy, to alarm oneself.	Intransitive
1094	xrfil	4	Basic	xrf	xosil	Regular	C	I-Class	-il		Intransitive
1095	xsdanal	20		xsda	niharnal	Regular	C	Inchoative	-nal	To harden, to be severe, rigorous, austere.	Intransitive
1096	xsdat͡snel	10	Basic	xsda	modet͡snel	Regular	C	Causative	-t͡snel	To harden; to render obdurate; to make hard, to indurate.	Transitive
1097	xdanal	20		xda	niharnal	Regular	C	Inchoative	-nal	(phys.) To condense.	Intransitive
1098	xdat͡snel	10	Basic	xda	modet͡snel	Regular	C	Causative	-t͡snel	(phys.) To condense, to condensate.	Transitive
1099	xdɣdel	2		xdɣd	kaɣel	Regular	C	E-Class	-el	To tickle, to titillate: to dazzle.	Transitive
1100	xdrel	2		xdr	kaɣel	Regular	C	E-Class	-el	To distinguish, to discern, to prohibit.	Transitive
1101	xraxusel	2		xraxus	kaɣel	Regular	C	E-Class	-el	To encourage, to stimulate; to support.	Transitive
1102	xradel	2		xrad	kaɣel	Regular	C	E-Class	-el	To advise, to admonish; to warn, to counsel, to excite to, to recommend.	Transitive
1103	xrel	2		xr	kaɣel	Regular	C	E-Class	-el	To strand, to run aground, to thrust in.	Transitive
1104	xril	4	Basic	xr	xosil	Regular	C	I-Class	-il	To run aground, to be stranded.	Intransitive
1105	xrxnt͡ʃel	2		xrxnt͡ʃ	kaɣel	Regular	C	E-Class	-el	To neigh.	Intransitive
1106	xroxdal	6		xroxd	gartal	Regular	C	A-Class	-al	To hector, to bully, to brag, to gasconade, to swagger, to be proud.	Intransitive
1107	xroxdanal	20		xroxda	niharnal	Regular	C	Inchoative	-nal	To hector, to bully, to brag, to gasconade, to swagger, to be proud.	Intransitive
1108	xrdt͡ʃet͡snel	10	Basic	xrdt͡ʃe	modet͡snel	Regular	C	Causative	-t͡snel	To scare, to startle, to fright away, to flurry, to frighten.	Transitive
1109	xrdt͡ʃil	4	Basic	xrdt͡ʃ	xosil	Regular	C	I-Class	-il	To startle, to take fright, to shy, to start aside, to be scared, to take umbrage.	Intransitive
1110	xt͡sanel	2		xt͡san	kaɣel	Regular	C	E-Class	-el	To stop, to choke, to shut up; to obstruct.	Transitive
1111	xt͡sel	2		xt͡s	kaɣel	Regular	C	E-Class	-el	To shut, to close, to seal up, to fasten.	Transitive
1112	xpel	2		xp	kaɣel	Regular	C	E-Class	-el	To shut, to close, to seal up.	Transitive
1113	xolil	4	Basic	xol	xosil	Regular	C	I-Class	-il		Intransitive
1114	xosagt͡sil	4	Basic	xosagt͡s	xosil	Regular	C	I-Class	-il	To converse with, to talk, to discuss.	Intransitive
1115	xoset͡snel	10	Basic	xose	modet͡snel	Regular	C	Causative	-t͡snel	To cause to talk.	Transitive
1116	xosil	4	Basic	xos	xosil	Regular	C	I-Class	-il	To speak, to talk; to discourse, to converse; to confer, to treat, to negotiate.	Intransitive
1117	d͡zaket͡snel	10	Basic	d͡zake	modet͡snel	Regular	C	Causative	-t͡snel	To sprout, to cause to dawn.	Transitive
1118	d͡zakil	4	Basic	d͡zak	xosil	Regular	C	I-Class	-il	To shine, to dawn, to begin, to appear, to rise, to emanate, to come out, to spring; to arise, to irradiate, to sprout forth.	Intransitive
1119	d͡zatil	4	Basic	d͡zat	xosil	Regular	C	I-Class	-il		Intransitive
1120	d͡zalel	2		d͡zal	kaɣel	Regular	C	E-Class	-el	To fold, to plait, to bend, to crease.	Transitive
1121	d͡zallel	2		d͡zall	kaɣel	Regular	C	E-Class	-el		Transitive
1122	d͡zaxel	2		d͡zax	kaɣel	Regular	C	E-Class	-el	To sell, to spend, to expend; to consume.	Transitive
1123	d͡zaxvil	4	Passive	d͡zax	zzvil	Regular	C	Passive	-vil	To be sold, to sell, to go off, to be disposed of.	Intransitive
1124	d͡zad͡zanil	4	Basic	d͡zad͡zan	xosil	Regular	C	I-Class	-il	To undulate, to wave, to float.	Intransitive
1125	d͡zad͡zgel	2		d͡zad͡zg	kaɣel	Regular	C	E-Class	-el	To cover, to hide, to conceal, to mask, to dissimulate, to veil, to to cloak.	Transitive
1126	d͡zad͡zgvil	4	Passive	d͡zad͡zg	zzvil	Regular	C	Passive	-vil	To be covered, hidden, concealed: to abscond, to muffle oneself, to conceal oneself.	Intransitive
1127	d͡zaganʃel	2		d͡zaganʃ	kaɣel	Regular	C	E-Class	-el		Transitive
1128	d͡zagel	2		d͡zag	kaɣel	Regular	C	E-Class	-el	To bore, to perforate, to pierce, to hole.	Transitive
1129	d͡zagd͡zgel	2		d͡zagd͡zg	kaɣel	Regular	C	E-Class	-el	To bore, to perforate; to make holes; to pierce, to drill, to break through.	Transitive
1130	d͡zagodel	2		d͡zagod	kaɣel	Regular	C	E-Class	-el	To bore, to perforate; to make holes; to pierce, to drill, to break through.	Transitive
1131	d͡zagvil	4	Passive	d͡zag	zzvil	Regular	C	Passive	-vil	To be bored, pierced or perforated.	Intransitive
1132	d͡zaɣgazartel	2		d͡zaɣgazart	kaɣel	Regular	C	E-Class	-el	To flower, to blossom, to adorn with flowers.	Transitive
1133	d͡zaɣgel	2		d͡zaɣg	kaɣel	Regular	C	E-Class	-el	To flower, to blossom, to prosper, to flourish.	Intransitive
1134	d͡zaɣget͡snel	10	Basic	d͡zaɣge	modet͡snel	Regular	C	Causative	-t͡snel	To blossom, to cause to flourish.	Transitive
1135	d͡zaɣgil	4	Basic	d͡zaɣg	xosil	Regular	C	I-Class	-il	To flower, to bloom, to blossom.	Intransitive
1136	d͡zaɣrel	2		d͡zaɣr	kaɣel	Regular	C	E-Class	-el	To jeer, to laugh, to jest, to banter, to deride, to scoff, to baffle.	Transitive
1137	d͡zamad͡zrel	2		d͡zamad͡zr	kaɣel	Regular	C	E-Class	-el	To distort, to twist, to perplex, to twine.	Transitive
1138	d͡zamel	2		d͡zam	kaɣel	Regular	C	E-Class	-el	To masticate, to chew.	Transitive
1139	d͡zamd͡zmel	2		d͡zamd͡zm	kaɣel	Regular	C	E-Class	-el	To chew, to masticate; to mumble, to munch, to craunch.	Transitive
1140	d͡zajradel	2		d͡zajrad	kaɣel	Regular	C	E-Class	-el	To mutilate, to maim, to cripple.	Transitive
1141	d͡zanagel	2		d͡zanag	kaɣel	Regular	C	E-Class	-el	To dishonour, to bring to shame, to disgrace.	Transitive
1142	d͡zanut͡sanel	12		d͡zanut͡s	d͡zanut͡sanel	Archaic	C		-anel	To warn, to notify, to announce, to declare, to communicate, to give notice of.	Transitive
1143	d͡zanut͡sel	2		d͡zanut͡s	kaɣel	Regular	C	E-Class	-el		Transitive
1144	d͡zanrapernel	2		d͡zanrapern	kaɣel	Regular	C	E-Class	-el	To overload, to overburden, to oppress.	Transitive
1145	d͡zanranal	20		d͡zanra	niharnal	Regular	C	Inchoative	-nal	To grow, to weigh heavy, to grow worse, to be aggravated.	Intransitive
1146	d͡zanrat͡snel	10	Basic	d͡zanra	modet͡snel	Regular	C	Causative	-t͡snel	To increase in weight, to render heavy, to overload, to aggravate, to augment.	Transitive
1147	d͡zanotakrel	2		d͡zanotakr	kaɣel	Regular	C	E-Class	-el	To annotate, to make notes on.	Transitive
1148	d͡zanotanal	20		d͡zanota	niharnal	Regular	C	Inchoative	-nal	to acquire knowledge of, to know, to be acquainted, to make the acquaintance of.	Transitive
1149	d͡zanotat͡snel	10	Basic	d͡zanota	modet͡snel	Regular	C	Causative	-t͡snel	To make someone's acquaintance.	Transitive
1150	d͡zarazartel	2		d͡zarazart	kaɣel	Regular	C	E-Class	-el		Transitive
1151	d͡zarajel	2		d͡zaraj	kaɣel	Regular	C	E-Class	-el	To serve, to wait upon, to make service.	Transitive
1152	d͡zarajet͡snel	10	Basic	d͡zaraje	modet͡snel	Regular	C	Causative	-t͡snel	To subject, to subdue, to enslave.	Transitive
1153	d͡zaranal	20		d͡zara	niharnal	Regular	C	Inchoative	-nal	To revolt, to rebel, to stand erect; to rise.	Intransitive
